id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country,city,icao_code,iata_code,State,timezone
3636,KLBL,medium_airport,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,2885,US,Liberal,KLBL,LBL,KS,America/Chicago
20322,KLBT,medium_airport,Lumberton Regional Airport,34.610773,-79.05943,126,US,Lumberton,KLBT,LBT,NC,America/New_York
20323,KLBX,medium_airport,Texas Gulf Coast Regional Airport,29.108601,-95.462097,25,US,Angleton,KLBX,LBX,TX,America/Chicago
3637,KLCH,medium_airport,Lake Charles Regional Airport,30.1261005401611,-93.2232971191406,15,US,Lake Charles,KLCH,LCH,LA,America/Chicago
3638,KLCK,medium_airport,Rickenbacker International Airport,39.813801,-82.927803,744,US,Columbus,KLCK,LCK,OH,America/New_York
3639,KLEB,medium_airport,Lebanon Municipal Airport,43.6260986327999,-72.3041992188,603,US,Lebanon,KLEB,LEB,NH,America/New_York
20329,KLEE,medium_airport,Leesburg International Airport,28.82309914,-81.80870056,76,US,Leesburg,KLEE,LEE,FL,America/New_York
3640,KLEX,medium_airport,Blue Grass Airport,38.035066,-84.606738,979,US,Lexington,KLEX,LEX,KY,America/New_York
3641,KLFI,medium_airport,Langley Air Force Base,37.082901,-76.360497,11,US,Hampton,KLFI,LFI,VA,America/New_York
20332,KLFK,medium_airport,Angelina County Airport,31.2339992523,-94.75,296,US,Lufkin,KLFK,LFK,TX,America/Chicago
3642,KLFT,medium_airport,Lafayette Regional Airport,30.205299,-91.987602,42,US,Lafayette,KLFT,LFT,LA,America/Chicago
20337,KLGU,medium_airport,Logan-Cache Airport,41.7911987305,-111.851997375,4457,US,Logan,KLGU,LGU,UT,America/Denver
3645,KLIT,medium_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729222,-92.223591,262,US,Little Rock,KLIT,LIT,AR,America/Chicago
20354,KLLQ,medium_airport,Monticello Municipal Ellis Field,33.638599,-91.750999,270,US,Monticello,,LLQ,AR,America/Chicago
3646,KLMT,medium_airport,Crater Lake-Klamath Regional Airport,42.156101,-121.733002,4095,US,Klamath Falls,KLMT,LMT,OR,America/Los_Angeles
20359,KLND,medium_airport,Hunt Field,42.815201,-108.730003,5586,US,Lander,KLND,LND,WY,America/Denver
3647,KLNK,medium_airport,Lincoln Airport,40.844882,-96.76178,1219,US,Lincoln,KLNK,LNK,NE,America/Chicago
3648,KLNS,medium_airport,Lancaster Airport,40.1217002868652,-76.2960968017578,403,US,Lancaster,KLNS,LNS,PA,America/New_York
20364,KLOL,medium_airport,Derby Field,40.0663986206,-118.565002441,3904,US,Lovelock,KLOL,LOL,NV,America/Los_Angeles
3649,KLOU,medium_airport,Bowman Field,38.2280006409,-85.6636962891,546,US,Louisville,KLOU,LOU,KY,America/Kentucky/Louisville
3650,KLOZ,medium_airport,London-Corbin Airport/Magee Field,37.0821990967,-84.0848999023,1212,US,London,KLOZ,LOZ,KY,America/New_York
3651,KLRD,medium_airport,Laredo International Airport,27.5438,-99.461601,508,US,Laredo,KLRD,LRD,TX,America/Chicago
3652,KLRF,medium_airport,Little Rock Air Force Base,34.9169006347999,-92.1496963501,311,US,Jacksonville,KLRF,LRF,AR,America/Chicago
3653,KLRU,medium_airport,Las Cruces International Airport,32.289398,-106.921997,4456,US,Las Cruces,KLRU,LRU,NM,America/Denver
3654,KLSE,medium_airport,La Crosse Regional Airport,43.879002,-91.256699,655,US,La Crosse,KLSE,LSE,WI,America/Chicago
3655,KLSF,medium_airport,Lawson Army Air Field,32.332546,-84.988003,232,US,Fort Benning,KLSF,LSF,GA,America/New_York
3656,KLSV,medium_airport,Nellis Air Force Base,36.2361984253,-115.033996582,1870,US,Las Vegas,KLSV,LSV,NV,America/Los_Angeles
3657,KLTS,medium_airport,Altus Air Force Base,34.667099,-99.266701,1382,US,Altus,KLTS,LTS,OK,America/Chicago
3658,KLUF,medium_airport,Luke Air Force Base,33.535,-112.383003,1085,US,Glendale,KLUF,LUF,AZ,America/Phoenix
3659,KLUK,medium_airport,Cincinnati Municipal Airport Lunken Field,39.102357,-84.418945,483,US,Cincinnati,KLUK,LUK,OH,America/New_York
20386,KLVM,medium_airport,Mission Field,45.6994018555,-110.447998047,4660,US,Livingston,KLVM,LVM,MT,America/Denver
20388,KLVS,medium_airport,Las Vegas Municipal Airport,35.654202,-105.141998,6877,US,Las Vegas,KLVS,LVS,NM,America/Denver
20390,KLWB,medium_airport,Greenbrier Valley Airport,37.857914,-80.400438,2302,US,Lewisburg,KLWB,LWB,WV,America/New_York
3660,KLWM,medium_airport,Lawrence Municipal Airport,42.7172012328999,-71.1233978271,148,US,Lawrence,KLWM,LWM,MA,America/New_York
20393,KLWS,medium_airport,Lewiston Nez Perce County Airport,46.3745002746582,-117.014999389648,1442,US,Lewiston,KLWS,LWS,ID,America/Los_Angeles
3661,KLWT,medium_airport,Lewistown Municipal Airport,47.048429,-109.466143,4170,US,Lewistown,KLWT,LWT,MT,America/Denver
3662,KLYH,medium_airport,Lynchburg Regional Airport - Preston Glenn Field,37.326698,-79.200401,938,US,Lynchburg,KLYH,LYH,VA,America/New_York
3663,KMAF,medium_airport,Midland International Air and Space Port,31.942499,-102.202003,2871,US,Midland,KMAF,MAF,TX,America/Chicago
20474,KMBG,medium_airport,Mobridge Municipal Airport,45.54650116,-100.4079971,1716,US,Mobridge,KMBG,MBG,SD,America/Chicago
3664,KMBS,medium_airport,MBS International Airport,43.533181,-84.083104,668,US,Freeland,KMBS,MBS,MI,America/Detroit
3665,KMCB,medium_airport,McComb-Pike County Airport / John E Lewis Field,31.178499,-90.471901,413,US,McComb,KMCB,MCB,MS,America/Chicago
3666,KMCC,medium_airport,McClellan Airfield,38.667599,-121.401001,77,US,Sacramento,KMCC,MCC,CA,America/Los_Angeles
20480,KMCE,medium_airport,Merced Regional Macready Field,37.284698,-120.514,155,US,Merced,KMCE,MCE,CA,America/Los_Angeles
3667,KMCF,medium_airport,MacDill Air Force Base,27.8493,-82.521202,14,US,Tampa,KMCF,MCF,FL,America/New_York
20481,KMCK,medium_airport,McCook Ben Nelson Regional Airport,40.207787,-100.592794,2583,US,McCook,KMCK,MCK,NE,America/Chicago
3669,KMCN,medium_airport,Middle Georgia Regional Airport,32.6927986145019,-83.6492004394531,354,US,Macon,KMCN,MCN,GA,America/New_York
20482,KMCW,medium_airport,Mason City Municipal Airport,43.159801,-93.329716,1213,US,Mason City,KMCW,MCW,IA,America/Chicago
